file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
hospital_0_real,0.0,3.41,corpus,-47.653271627565985,-47.96498598371233,1.390758476288028,9.818063287740753
hospital_0_ref,0.0,3.43,corpus,-47.133205402696795,-49.23402350289481,1.3255287995070275,18.33307435253098
